Timestamp,Birthday,Birthday,Zodiac,MBTI Type,,,,,,,,
4/15/2020 4:26,10/5/2020,10/5,Libra,INFP,,,,,,,,
4/16/2020 17:02,1/1/2007,1/1,Capricorn,ENTP,,,,,,,,
4/17/2020 20:05,10/3/2006,10/3,Libra,INTP,,,,,,,,
4/15/2020 8:35,8/3/2006,8/3,Leo,INTP,,,,,,,,
4/14/2020 6:46,4/16/2006,4/16,Aries,ESFP,,,,,,,,
4/13/2020 17:04,11/29/2005,11/29,Sagittarius,ENTP,,,,,,,,
4/13/2020 22:01,3/23/2005,3/23,Aries,INTJ,,,,,,,,
4/13/2020 12:14,9/9/2004,9/9,Virgo,INTP,,,,,,,,
4/13/2020 21:35,6/20/2004,6/20,Gemini,ENFJ,,,,,,,,
4/13/2020 15:48,2/20/2004,2/20,Pisces,INTJ,,,,,,,,
4/14/2020 5:37,12/12/2003,12/12,Sagittarius,INTJ,,,,,,,,
4/13/2020 23:18,7/23/2003,7/23,Leo,ISFJ,,,,,,,,
4/13/2020 11:05,2/26/2003,2/26,Aquaris,INFP,,,,,,,,
4/14/2020 12:19,12/30/2002,12/30,Sagittarius,INFJ,,,,,,,,
4/13/2020 13:38,9/27/2002,9/27,Libra,ENFP,,,,,,,,
4/13/2020 10:37,7/13/2002,7/13,Cancer,INTJ,,,,,,,,
4/14/2020 12:20,6/21/2002,6/21,Cancer,INTP,,,,,,,,
4/13/2020 10:10,5/8/2002,5/8,Tauras,INTP,,,,,,,,
4/13/2020 13:30,4/24/2002,4/24,Gemini,INFJ,,,,,,,,
4/13/2020 11:36,4/15/2002,4/15,Tauras,INTP,,,,,,,,
4/13/2020 20:18,4/4/2002,4/4,Tauras,INTJ,,,,,,,,
4/13/2020 14:41,3/29/2002,3/29,Aries,ISFP,,,,,,,,
4/13/2020 17:29,2/6/2002,2/6,Aquaris,INFJ,,,,,,,,
4/15/2020 16:06,1/27/2002,1/27,Carpircorn,INFP,,,,,,,,
4/13/2020 22:47,9/9/2001,9/9,Virgo,ESTJ,,,,,,,,
4/13/2020 15:42,3/20/2001,3/20,Pisces,INTP,,,,,,,,
4/16/2020 17:05,1/1/2001,1/1,Capricorn,ENTP,,,,,,,,
4/13/2020 6:17,12/31/2000,12/31,Capricorn,ENTP,,,,,,,,
4/13/2020 6:13,12/30/2000,12/30,Capricorn,ENFJ,,,,,,,,
4/13/2020 0:52,12/28/2000,12/28,Capricorn,INFP,,,,,,,,
4/13/2020 0:39,12/27/2000,12/27,Capricorn,INFP,,,,,,,,
4/13/2020 1:57,12/26/2000,12/26,Capricorn,INTJ,,,,,,,,
4/13/2020 4:06,12/26/2000,12/26,Capricorn,ENTP,,,,,,,,
4/13/2020 11:23,12/25/2000,12/25,Capricorn,INFJ,,,,,,,,
4/13/2020 1:11,12/24/2000,12/24,Capricorn,ESFP,,,,,,,,
4/13/2020 2:34,12/22/2000,12/22,Capricorn,INTJ,,,,,,,,
4/12/2020 22:26,12/19/2000,12/19,Sagittarius,ENFP,,,,,,,,
4/13/2020 1:14,12/19/2000,12/19,Sagittarius,INTP,,,,,,,,
4/13/2020 11:55,12/19/2000,12/19,Sagittarius,ENFP,,,,,,,,
4/12/2020 21:39,12/18/2000,12/18,Sagittarius,INFJ,,,,,,,,
4/12/2020 19:29,12/15/2000,12/15,Sagittarius,INFP,,,,,,,,
4/13/2020 8:56,12/15/2000,12/15,Sagittarius,ISFJ,,,,,,,,
4/12/2020 20:32,12/14/2000,12/14,Sagittarius,ESTP,,,,,,,,
4/13/2020 1:33,12/13/2000,12/13,Sagittarius,INFJ,,,,,,,,
4/12/2020 22:22,12/12/2000,12/12,Sagittarius,ENFP,,,,,,,,
4/13/2020 2:11,12/12/2000,12/12,Sagittarius,INFP,,,,,,,,
4/13/2020 6:47,12/11/2000,12/11,Sagittarius,ESFJ,,,,,,,,
4/12/2020 23:22,12/7/2000,12/7,Sagittarius,INFJ,,,,,,,,
4/13/2020 0:48,12/3/2000,12/3,Sagittarius,INTP,,,,,,,,
4/13/2020 6:12,11/30/2000,11/30,Sagittarius,INFP,,,,,,,,
4/13/2020 6:16,11/29/2000,11/29,Sagittarius,INTP,,,,,,,,
4/13/2020 2:51,11/26/2000,11/26,Sagittarius,INFJ,,,,,,,,
4/12/2020 20:55,11/25/2000,11/25,Sagittarius,INTJ,,,,,,,,
4/12/2020 22:59,11/24/2000,11/24,Sagittarius,INTP,,,,,,,,
4/13/2020 0:56,11/23/2000,11/23,Sagittarius,INFP,,,,,,,,
4/13/2020 1:02,11/22/2000,11/22,Sagittarius,INTJ,,,,,,,,
4/13/2020 5:54,11/22/2000,11/22,Sagittarius,ENFP,,,,,,,,
4/12/2020 22:42,11/19/2000,11/19,Scorpio,ENTP,,,,,,,,
4/13/2020 8:28,11/17/2000,11/17,Scorpio,INFP,,,,,,,,
4/13/2020 1:52,11/15/2000,11/15,Scorpio,ENFP,,,,,,,,
4/13/2020 4:31,11/15/2000,11/15,Scorpio,INFP,,,,,,,,
4/13/2020 6:43,11/12/2000,11/12,Scorpio,INFP,,,,,,,,
4/12/2020 21:14,11/11/2000,11/11,Scorpio,ISTJ,,,,,,,,
4/13/2020 1:19,11/10/2000,11/10,Scorpio,INFP,,,,,,,,
4/13/2020 5:36,11/10/2000,11/10,Scorpio,INFP,,,,,,,,
4/13/2020 5:22,11/9/2000,11/9,Scorpio,ENTP,,,,,,,,
4/13/2020 1:37,11/4/2000,11/4,Scorpio,ENFP,,,,,,,,
4/13/2020 8:52,11/4/2000,11/4,Scorpio,ENFP,,,,,,,,
4/13/2020 2:44,11/2/2000,11/2,Scorpio,INTJ,,,,,,,,
4/13/2020 8:58,11/2/2000,11/2,Scorpio,ISFJ,,,,,,,,
4/13/2020 1:30,10/31/2000,10/31,Scorpio,INFP,,,,,,,,
4/13/2020 7:24,10/31/2000,10/31,Scorpio,INTP,,,,,,,,
4/12/2020 22:29,10/30/2000,10/30,Scorpio,ENFJ,,,,,,,,
4/13/2020 8:20,10/26/2000,10/26,Scorpio,INTJ,,,,,,,,
4/13/2020 6:09,10/25/2000,10/25,Scorpio,ISTP,,,,,,,,
4/12/2020 20:25,10/23/2000,10/23,Scorpio,ISTP,,,,,,,,
4/12/2020 22:42,10/18/2000,10/18,Libra,ISFP,,,,,,,,
4/13/2020 9:46,10/17/2000,10/17,Libra,INTP,,,,,,,,
4/13/2020 6:11,10/15/2000,10/15,Libra,INTP,,,,,,,,
4/12/2020 19:45,10/13/2000,10/13,Libra,INTJ,,,,,,,,
4/12/2020 23:29,10/9/2000,10/9,Libra,INTJ,,,,,,,,
4/13/2020 8:19,10/9/2000,10/9,Libra,INFP,,,,,,,,
4/13/2020 6:27,10/6/2000,10/6,Libra,INFP,,,,,,,,
4/13/2020 6:24,10/5/2000,10/5,Libra,INTJ,,,,,,,,
4/13/2020 2:05,10/3/2000,10/3,Libra,ISFJ,,,,,,,,
4/13/2020 4:28,10/3/2000,10/3,Libra,ISTJ,,,,,,,,
4/12/2020 22:36,9/29/2000,9/29,Libra,ENTP,,,,,,,,
4/13/2020 9:54,9/29/2000,9/29,Libra,INTP,,,,,,,,
4/12/2020 22:43,9/25/2000,9/25,Libra,ENFJ,,,,,,,,
4/13/2020 5:14,9/24/2000,9/24,Libra,INFP,,,,,,,,
4/12/2020 23:55,9/23/2000,9/23,Libra,INTP,,,,,,,,
4/13/2020 2:17,9/23/2000,9/23,Libra,INFP,,,,,,,,
4/12/2020 21:19,9/21/2000,9/21,Virgo,INFP,,,,,,,,
4/12/2020 23:30,9/21/2000,9/21,Virgo,INTP,,,,,,,,
4/12/2020 23:09,9/18/2000,9/18,Virgo,ENTP,,,,,,,,
4/13/2020 3:00,9/15/2000,9/15,Virgo,INTP,,,,,,,,
4/13/2020 7:34,9/15/2000,9/15,Virgo,INFJ,,,,,,,,
4/12/2020 21:48,9/14/2000,9/14,Virgo,INTP,,,,,,,,
4/13/2020 2:30,9/14/2000,9/14,Virgo,INFP,,,,,,,,
4/12/2020 18:15,9/12/2000,9/12,Virgo,INTJ,,,,,,,,
4/13/2020 0:46,9/12/2000,9/12,Virgo,INFJ,,,,,,,,
4/13/2020 0:36,9/9/2000,9/9,Virgo,INTJ,,,,,,,,
4/13/2020 1:24,9/7/2000,9/7,Virgo,ISTJ,,,,,,,,
4/13/2020 6:10,9/4/2000,9/4,Virgo,INFP,,,,,,,,
4/13/2020 9:55,9/3/2000,9/3,Virgo,INFP,,,,,,,,
4/13/2020 6:35,9/2/2000,9/2,Virgo,INTJ,,,,,,,,
4/13/2020 9:06,9/1/2000,9/1,Virgo,INTP,,,,,,,,
4/13/2020 9:57,9/1/2000,9/1,Virgo,INFP,,,,,,,,
4/14/2020 0:51,8/29/2000,8/29,Virgo,INFP,,,,,,,,
4/12/2020 23:39,8/27/2000,8/27,Virgo,ISFJ,,,,,,,,
4/13/2020 2:39,8/26/2000,8/26,Virgo,ENTP,,,,,,,,
4/13/2020 0:48,8/24/2000,8/24,Virgo,ISFJ,,,,,,,,
4/13/2020 4:06,8/24/2000,8/24,Virgo,INFP,,,,,,,,
4/13/2020 0:04,8/23/2000,8/23,Virgo,INFP,,,,,,,,
4/13/2020 1:19,8/22/2000,8/22,Leo,INFJ,,,,,,,,
4/13/2020 0:01,8/21/2000,8/21,Leo,ENTJ,,,,,,,,
4/12/2020 17:58,8/20/2000,8/20,Leo,INTP,,,,,,,,
4/13/2020 4:29,8/18/2000,8/18,Leo,INFJ,,,,,,,,
4/13/2020 8:57,8/17/2000,8/17,Leo,INTP,,,,,,,,
4/13/2020 10:09,8/17/2000,8/17,Leo,INTP,,,,,,,,
4/13/2020 6:05,8/16/2000,8/16,Leo,ISTJ,,,,,,,,
4/13/2020 7:56,8/13/2000,8/13,Leo,INTP,,,,,,,,
4/13/2020 1:50,8/12/2000,8/12,Leo,INTJ,,,,,,,,
4/12/2020 23:22,8/11/2000,8/11,Leo,INTP,,,,,,,,
4/13/2020 1:33,8/9/2000,8/9,Leo,ESTJ,,,,,,,,
4/15/2020 8:07,8/9/2000,8/9,Leo,ISTP,,,,,,,,
4/13/2020 19:07,8/6/2000,8/6,Leo,INTP,,,,,,,,
4/13/2020 2:41,8/5/2000,8/5,Leo,INTJ,,,,,,,,
4/13/2020 10:18,8/2/2000,8/2,Leo,ENFP,,,,,,,,
4/12/2020 19:07,8/1/2000,8/1,Leo,ISTJ,,,,,,,,
4/12/2020 23:55,7/31/2000,7/31,Leo,INFP,,,,,,,,
4/13/2020 5:54,7/24/2000,7/24,Leo,ISFJ,,,,,,,,
4/12/2020 22:30,7/23/2000,7/23,Leo,ISFP,,,,,,,,
4/13/2020 6:06,7/23/2000,7/23,Leo,INFJ,,,,,,,,
4/13/2020 6:36,7/21/2000,7/21,Cancer,INFP,,,,,,,,
4/13/2020 3:38,7/18/2000,7/18,Cancer,INFJ,,,,,,,,
4/13/2020 6:43,7/18/2000,7/18,Cancer,INFP,,,,,,,,
4/13/2020 0:05,7/14/2000,7/14,Cancer,ISFJ,,,,,,,,
4/12/2020 19:26,7/12/2000,7/12,Cancer,INTP,,,,,,,,
4/13/2020 0:12,7/12/2000,7/12,Cancer,INFJ,,,,,,,,
4/13/2020 8:29,7/9/2000,7/9,Cancer,INFJ,,,,,,,,
4/12/2020 23:41,7/7/2000,7/7,Cancer,INTJ,,,,,,,,
4/12/2020 23:41,7/7/2000,7/7,Cancer,INTJ,,,,,,,,
4/13/2020 3:43,7/7/2000,7/7,Cancer,INFP,,,,,,,,
4/12/2020 22:08,7/4/2000,7/4,Cancer,INTP,,,,,,,,
4/13/2020 0:18,7/4/2000,7/4,Cancer,INFJ,,,,,,,,
4/13/2020 2:39,7/4/2000,7/4,Cancer,INTJ,,,,,,,,
4/13/2020 6:29,7/3/2000,7/3,Cancer,INFP,,,,,,,,
4/13/2020 8:10,7/2/2000,7/2,Cancer,INTP,,,,,,,,
4/12/2020 18:10,6/30/2000,6/30,Cancer,INFP,,,,,,,,
4/12/2020 18:10,6/30/2000,6/30,Cancer,INFP,,,,,,,,
4/12/2020 22:39,6/30/2000,6/30,Cancer,INTP,,,,,,,,
4/13/2020 8:27,6/30/2000,6/30,Cancer,ENTP,,,,,,,,
4/13/2020 3:02,6/28/2000,6/28,Cancer,INTJ,,,,,,,,
4/13/2020 8:53,6/28/2000,6/28,Cancer,INTJ,,,,,,,,
4/13/2020 6:59,6/27/2000,6/27,Cancer,INTJ,,,,,,,,
